word	and	arch	bezhh	bezht	bud	cham	chamg	gin	gunz	hin	inh	kryz	lak	rutl	tsah	tsahg	tsahts	tsez
krapiva	5	3	4	4	4	3	5	3	3	3	3	4	3	4	4	3	4	3
kremen'	5	3	5	3	3	5	5	NA	5	4	3	4 4	3	3	4	4	4	2
krov'	5	3	3	3	4	3	3	3	3	3	3	4	3	3	3	3	3	3
krylo	4	4	5	5	4	5	5	2	5	3	5	4	4	4	4	3	4	2
krysha (zemljanaja)	5	4	3	3	4	3	3	3	3	3	3	3	4	4	4	4	4	3
kryshka	4	4	3	3	4	5	5	4	3	4	5	4	4	4	4	4	4	2
kukushka	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
kulak	5	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3
kuritsa	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
kuropatka	3	3	3	3	3	3	3	3	3	3	3	3 3	3	3	3	3	3	3
kust	4	3	4	4	3	5	5	NA	4	3	5	3	3	3	3	3	3	4
kuvalda	5	4	4	4	3	4	4	2	4	4	4	3	3	4	NA	NA	NA	2
kuvshin	5 5 5 4	3 4 3 4	3 3 3 3	3 3 3 3	4 3 3 3 3 3	3 4	3 4 3	3 3	3 3	3 3 3	3 3	3 3 4 3 3 3 3	3 4 4 4 4	3 3 3 3	4 3 4 4 3 4 3	4 3 4 3 4 4 4 3	4 3 4 4 4 3	3 3
kuznechik	3	3	3	3	3	3	3	3	3	3	3	4	3	4	4	4	4	3
kuznechnyj meh	4	4	3	4 3	4	3	3	4	5	4	3	3 3	3	4	3	3	3	4
ladon'	5	4	3	3	4	3	3	2	5	3 3	3	4	4	4	4	4	4	2
lapa	4	3	3	3	4	3	3	2	3	4	5	4	4	4	4	4	4	2
lastochka	3	4	3	3	3	NA	3	3	3	3	5	3	3	3	3	3	3	3
led	5	3	3	3	3	3	3	3	3	3	3	3	3	4	4	3	4	3
legkoe	5	3	3	3	4	4	4	3	3	3	3	4	3	NA	4	4	4	3
les	4	4	4	4	3	4	4	4	4	3	4	4	3	4	4	4	4	4
lestnitsa kamennaja	5	4	3	3	3	3	3	4	3	4	3	3	3	3	NA	4	4	4
leto	NA	4	NA	NA	4	5	5	3	3	4	5	4	4	NA	4	4	4	3
lipa	5	3	3	3	3	4	NA	5	3	NA	3	3	3	3	4	4	4	3
lisa	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
list	5	4	5	5	4	5	5	2	5	4	5	4	3	3	3	3	3	2
litso	4	4	3	3	3	3	3	4	3	3	4	3	4	4	4	4	3	4
ljagushka	3	3	3	3	3	5	3	3	3	3	3	3	3	3	3	3	3	3
ljul'ka	5	3	3	3	3	4	4	3	3	3	4	4	3	3	3	3	3	4
lob	4	4	4	4	4	4	4	3	4	4	3	4	3	4	3	3	3	3
lokot'	5	4	5	5	4	5	5	4	5	3	4	4	4	4	4	4	4	2
lopata	NA	NA	5	5	4	NA	NA	2	5	4	NA	4	NA	NA	NA	NA	NA	2
lopata (a) derevjannaja	4	4 4	NA	NA	NA	3	3	NA	NA	NA	5	NA	4	4	4	NA	4	NA
lopata (b) zheleznaja	5	3	NA	NA	NA	4	3	NA	NA	NA	3	NA	4	4	4	4	4	NA
lopuh, rastenie s krupnymi list'jami	NA	3 4	NA	NA	3 3	3	3	NA	3	3	NA	3	3	3	NA	3	3	2
loshad', kon' (rodovoe nazvanie)	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	NA
lozhka	NA	4	3	NA	3	NA	NA	4	3	3	5	3	4	3	3	3	3	NA
lozhka (a) metallicheskaja	5	NA	NA	3	NA	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
lozhka (b) derevjannaja	5	NA	NA	3	NA	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
luk	5	4	5	5	3	3	5	4	5	3	5	3	3	3	3	3	3	4
luk (oruzhie)	3	4	3	3	3	4	3	4	4	NA	3	3	3	4	4	4	4	4
